id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH/KAPITA/BULAN,2010
181,32,JAWA BARAT,3271,KOTA BOGOR,278530,RUPIAH/KAPITA/BULAN,2010
182,32,JAWA BARAT,3272,KOTA SUKABUMI,284339,RUPIAH/KAPITA/BULAN,2010
183,32,JAWA BARAT,3273,KOTA BANDUNG,279784,RUPIAH/KAPITA/BULAN,2010
184,32,JAWA BARAT,3274,KOTA CIREBON,251375,RUPIAH/KAPITA/BULAN,2010
185,32,JAWA BARAT,3275,KOTA BEKASI,332849,RUPIAH/KAPITA/BULAN,2010
186,32,JAWA BARAT,3276,KOTA DEPOK,310279,RUPIAH/KAPITA/BULAN,2010
187,32,JAWA BARAT,3277,KOTA CIMAHI,280155,RUPIAH/KAPITA/BULAN,2010
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,263177,RUPIAH/KAPITA/BULAN,2010
189,32,JAWA BARAT,3279,KOTA BANJAR,193305,RUPIAH/KAPITA/BULAN,2010
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,235682,RUPIAH/KAPITA/BULAN,2011
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,214191,RUPIAH/KAPITA/BULAN,2011
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,235202,RUPIAH/KAPITA/BULAN,2011
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,228092,RUPIAH/KAPITA/BULAN,2011
194,32,JAWA BARAT,3205,KABUPATEN GARUT,202350,RUPIAH/KAPITA/BULAN,2011
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,209238,RUPIAH/KAPITA/BULAN,2011
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,233528,RUPIAH/KAPITA/BULAN,2011
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,230251,RUPIAH/KAPITA/BULAN,2011
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,262374,RUPIAH/KAPITA/BULAN,2011
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,300741,RUPIAH/KAPITA/BULAN,2011
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,239009,RUPIAH/KAPITA/BULAN,2011
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,301788,RUPIAH/KAPITA/BULAN,2011
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,243311,RUPIAH/KAPITA/BULAN,2011
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,236314,RUPIAH/KAPITA/BULAN,2011
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,288001,RUPIAH/KAPITA/BULAN,2011
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,300013,RUPIAH/KAPITA/BULAN,2011
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,227988,RUPIAH/KAPITA/BULAN,2011
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH/KAPITA/BULAN,2011
208,32,JAWA BARAT,3271,KOTA BOGOR,305870,RUPIAH/KAPITA/BULAN,2011
209,32,JAWA BARAT,3272,KOTA SUKABUMI,334735,RUPIAH/KAPITA/BULAN,2011
210,32,JAWA BARAT,3273,KOTA BANDUNG,292104,RUPIAH/KAPITA/BULAN,2011
211,32,JAWA BARAT,3274,KOTA CIREBON,284543,RUPIAH/KAPITA/BULAN,2011
212,32,JAWA BARAT,3275,KOTA BEKASI,365721,RUPIAH/KAPITA/BULAN,2011
213,32,JAWA BARAT,3276,KOTA DEPOK,358259,RUPIAH/KAPITA/BULAN,2011
214,32,JAWA BARAT,3277,KOTA CIMAHI,293143,RUPIAH/KAPITA/BULAN,2011
